Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Ireland,installed capacity ,3.082,3.332,3.417,3.397,3.327,3.195,3.723,3.88,3.814,3.805,3.807,3.811,3.927,3.927,3.904,4.054,4.178,4.233,4.385,4.267,4.726,4.735,5.445,5.71,5.833,6.146,6.887,7.544,7.372,7.576,8.454,8.742,8.694,8.953,9.33,9.749,10.136,10.713025,11.090315,11.236774,11.35171,11.39871
        Italy,installed capacity ,46.245,47.293,49.465,50.935,53.489,55.135,54.646,55.635,56.102,55.69,55.961,57.213,60.962,62.808,63.413,65.16,67.41,69.331,71.193,72.363,76.037,76.74,77.307,79.213,82.506,86.406,90.36,94.557,99.819,102.772,108.119,120.758,127.466,127.542,124.774,120.016,117.273,117.357112,118.377371,119.95472,119.436618,120.883618
        Norway,installed capacity ,20.012,21.544,22.369,22.952,23.206,23.651,24.781,25.583,25.689,27.033,27.067,27.073,27.213,27.268,27.5,28.19,28.305,28.138,27.782,28.332,28.476,28.032,28.374,28.479,28.575,29.204,29.383,30.075,30.64,31.341,31.784,32.197,32.975,33.602,33.815,33.957,33.887,34.325,35.468,36.781,38.331,39.412
        Poland,installed capacity ,24.723,24.736,25.994,26.833,27.788,29.039,29.774,30.11,28.256,28.096,27.663,28.077,28.456,28.926,29.444,29.265,29.513,29.745,29.859,30.412,30.575,30.7,30.844,31.683,31.906,32.274,32.379,32.538,32.767,33.1414,33.4944,34.8294,35.8644,36.5484,36.8034,38.2859,39.0774,43.815694,44.037366,44.415829,50.393699,54.768049
        Portugal,installed capacity ,4.437,4.624,5.307,5.633,5.654,6.008,6.453,6.846,6.91,7.337,7.234,7.284,8.013,8.513,8.618,9.152,9.22,9.274,9.572,10.405,11.192,11.27,11.541,11.915,12.996,13.736,14.814,15.386,16.152,17.802,19.475,20.484,20.3153,19.4513,19.687,20.202,21.199,21.514637,21.844538,22.263104,22.438618,23.180618
        Romania,installed capacity ,16.109,16.612,17.47,17.988,18.824,19.574,20.392,21.73,22.376,22.903,22.478,22.268,22.268,22.261,22.06,22.276,23.501,23.489,23.212,22.891,22.56,21.518,20.314,20.023,20.281,19.038,19.31,20.507,19.635,19.453,19.4705,20.421,21.691,22.614,23.602,23.558,23.327,23.33147,23.301268,20.661,20.299755,20.313755
        Spain,installed capacity ,29.923,31.562,32.201,34.169,37.232,39.675,40.224,42.172,42.838,43.554,43.397,43.616,43.747,43.855,44.445,45.629,46.609,47.773,49.003,49.696,54.149,56.106,60.912,65.843,70.2973,77.2483,82.0323,89.5203,94.4163,97.3853,102.8793,103.6883,106.1353,107.0073,107.0383,107.4563,106.65,104.856905,104.747055,110.697869,109.92638,113.99938
        Sweden,installed capacity ,28.317,28.495,30.569,30.64,30.855,33.165,33.078,32.987,33.134,33.798,32.807,33.237,33.486,33.538,33.196,32.268,32.521,32.958,31.414,31.656,35.257,35.78,34.359,35.228,35.647,35.803,37.645,37.468,37.298,39.395,40.734,39.283,42.149,41.994,43.173,44.367,45.139,44.25,46.219,47.192,47.311,49.921
        Switzerland,installed capacity ,15.535,15.55,15.564,15.563,16.585,16.56,16.67,16.704,16.715,16.766,15.015,15.025,15.121,15.169,15.335,15.383,15.429,15.45,15.535,16.535,17.54,17.61,17.628,17.725,17.734,17.783,17.823,17.94,17.981,18.144,18.44,17.5875,18.953,19.33,19.559,19.986,21.207,21.981425,22.429993,22.384798,23.38668,23.87568
        Turkiye,installed capacity ,5.107,5.526,6.639,6.935,8.445,9.104,10.098,12.477,14.503,15.791,16.3,17.181,18.688,20.306,20.829,20.923,21.218,21.86,23.306,25.999,27.3311,28.3993,31.9186,35.66,36.8975,38.909,40.659,40.931,41.929,44.873,49.631,53.0002,57.191,64.141,69.67,73.326,78.724,85.508505,88.941124,91.672763,96.590233,100.630233
        United Kingdom,installed capacity ,73.608,69.098,69.166,68.239,70.016,70.383,69.477,70.597,73.216,74.587,73.082,70.315,67.511,68.113,68.184,69.758,72.844,72.21,72.496,74.446,79.182,80.7825,77.8195,79.8175,82.1835,84.0925,85.3165,85.2915,86.6455,88.645,95.314,96.533,98.706,96.599,100.187,100.524,102.281,108.32452,113.03758,109.61079,109.19957,108.74257
        Gibraltar,distribution losses ,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.008,0.008,0.004,0.005,0.005,0.003,0.00581,0.00581,0.00581,0.00595,0.00609,0.00644,0.00672,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.006,0.006,0.006527,0.007,0.007,0.006980924
        Greece,distribution losses ,1.598,1.677,1.767,1.992,2.015,1.991,2.371,2.292,2.607,2.51,2.866,2.886,2.676,3.018,3.175,3.174,3.257,3.271,3.173,3.345,4.273,4.944,3.979,4.926,5.199,5.598,5.1,4.86,5.053,3.223,3.782997,2.819999,1.611,3.894999,4.149001,4.895,3.956998,1.101788,5.242,3.692416,5.213355,4.02
        Hungary,distribution losses ,2.366,2.949,3.182,3.325,3.46,3.59,3.836,4.017,4.219,4.143,4.036,3.871,2.841,4.358,4.253,4.749,4.679,4.736,4.916,4.892,4.84,4.676,4.399,4.24,3.98,3.941,3.964,3.959,3.888,3.604,3.800998,3.783999,3.683998,3.663,3.630999,3.694999,3.566,3.455999,3.357,3.292,3.139,3.0314049
        Iceland,distribution losses ,0.291,0.314,0.35,0.358,0.327,0.334,0.381,0.456,0.394,0.384,0.395,0.387,0.343,0.313,0.24,0.328,0.455,0.446,0.438,0.386,0.316,0.353,0.395,0.49,0.382,0.381,0.413,0.495,0.576,0.508,0.698999,0.503,0.485999,0.374,0.498,0.575999,0.489,0.591001,0.5541739,0.531,0.54,0.554
        Ireland,distribution losses ,1.094,1.146,1.191,1.163,1.129,1.067,1.072,0.976,1.147,1.2,1.276,1.372,1.406,1.429,1.484,1.513,1.635,1.656,1.918,1.847,2.02,1.907,1.966,2.036,2.036,2.049,2.116,2.172,2.222,2.101,2.098233,2.028184,2.00285,2.017238,2.028393,2.083988,2.134782,2.176184,2.235563,2.2739081,2.3134508,2.3969533
        Italy,distribution losses ,16.605,16.306,14.458,16.668,16.611,17.464,16.904,17.204,18.158,17.177,16.159,17.108,16.728,17.65,17.066,17.552,16.927,17.727,18.518,18.571,19.203,19.356,19.782,20.889,20.868,20.626,19.926,20.976,20.444,20.352,20.57,20.848002,21.000001,21.186999,19.450999,19.716999,18.753001,18.667622,17.9881589,17.81822,17.366,17.051
        Norway,distribution losses ,7.131,8.506,7.441,8.332,7.563,9.071,6.894,8.484,7.657,7.721,6.886,6.768,6.814,8.967,7.93,9.422,8.541,8.314,7.976,9,8.778,7.788,9.263,9.368,10.965,10,10.114,10.111,9.704,7.578,9.553998,7.298,9.158,8.06,7.605,7.469,9.169999,9.152999,9.00538,8.257,8.908998,9.0760562
        Poland,distribution losses ,12.195,11.424,10.847,11.391,13.585,14.298,13.567,14.962,13.868,12.951,10.56,13.983,15.108,16.929,17.303,18.07,18.033,16.685,15.33,14.572,14.234,14.197,14.4,14.46,14.431,14.563,14.021,14.416,12.589,12.533,11.851,10.638,10.884,10.247,10.25,10.534,9.495,9.996,8.894,8.951,9.995,9.25
        Portugal,distribution losses ,1.87,1.665,2.085,2.15,2.222,2.37,2.43,2.52,2.818,2.969,3.162,3.304,3.404,3.448,3.586,3.33,3.469,3.217,3.24,3.648,3.649,4.057,3.502,3.881,4.057,4.212,3.686,3.18,4.189,3.792,4.28,4.09,4.707,5.455,5.209,4.894,4.901,5.100801,5.06,4.947661,4.501381,4.479587
        Romania,distribution losses ,4.026,3.892,3.851,3.814,3.891,3.855,4.113,4.052,4.295,4.635,5.929,5.864,5.525,5.628,5.065,6.738,7.186,6.6,6.45,6.387,6.629,6.814,6.686,4.774,6.073,6.08,6.578,6.751,7.19,7.029,7.058,7.141,7.062,7.021,7.097,7.161,7.125,6.994,7.056474,6.501,6.202,6.689595316
        Spain,distribution losses ,9.966,8.92,10.568,10.513,11.071,11.838,11.975,12.164,13.499,12.396,14.036,14.539,14.844,14.848,15.155,15.959,15.597,14.098,18.448,19.478,19.266,17.981,19.247,22.527,24.07,25.96,25.125,25.481,25.81,24.445,27.4,26.027,25.675,26.694,26.393,26.509,26.72,23.823,25.596,24.79,25.631,26.3089219
        Sweden,distribution losses ,8.279,8.196,8.149,9.306,10.076,10.79,9.63,10.167,9.518,9.441,9.208,8.802,9.569,10.026,9.052,10.072,10.345,10.216,10.747,10.338,10.815,11.805,11.885,10.667,10.945,11.708,10.864,10.657,10.987,9.911,10.561,10.597,10.96,10.003,7.335,6.988,8.569,9.495,10.537,10.842,8.634,8.942
        Switzerland,distribution losses ,3.198,3.214,3.195,3.257,3.348,3.444,3.485,3.551,3.571,3.268,3.678,3.731,3.839,3.873,3.537,3.669,4.011,4.101,4.309,3.981,4.087,4.196,4.165,4.189,4.244,4.229,4.193,4.222,4.284,4.188,4.372,4.481,4.576,4.664,4.674,4.54,4.456,4.558714,4.228349,4.148986,4.271825,4.4666944
        Turkiye,distribution losses ,2.824,2.931,3.317,3.422,3.74,3.945,5.447,5.518,6.308,6.247,6.681,7.561,8.995,10.252,11.842,13.769,15.854,18.582,20.795,21.545,23.756,23.329,23.932,24.052,23.243,24.044,24.81,26.647,27.481,28.991,30.222,32.369,35.657,37.133999,37.331001,36.528,35.61103,34.659467,31.6349909,31.285468,29.367801,30.990369
        United Kingdom,distribution losses ,21.534,20.123,20.479,21.206,23.055,24.603,25.065,26.692,23.754,24.982,25.029,26.22,23.786,22.828,32.041,26.851,29.335,27.138,29.818,29.862,31.143,32.077,30.963,32.07,33.175,27.901,27.515,27.83,28.103,28.148,26.883999,27.990001,28.293999,26.550001,27.448,28.607,26.330475,26.834961,25.651,25.4496109,26.322746,25.867
